platform	test	opt	run	mem_mib	wall_s	first_out_s	start_s	done_s	result
linux	bench	o2	3	512	12.269230299	0.0109	0.0109	12.2606	BENCH_DONE pass=1 candidates=40000000 primes=4268930 sophie=290137 elapsed_s=12 rate=3333333
nanos	bench	o0	3	512	16.547521025	0.2772	0.2814	15.8090	BENCH_DONE pass=1 candidates=40000000 primes=4268930 sophie=290137 elapsed_s=16 rate=2500000
nanos	bench	o2	3	512	13.534018822	0.2171	0.2203	12.5479	BENCH_DONE pass=1 candidates=40000000 primes=4268930 sophie=290137 elapsed_s=12 rate=3333333
baremetal	bench	bm	3	512	52.630268469	0.0273	0.0360	51.3088	BENCH_DONE pass=1 candidates=40000000 primes=4267777 sophie=289957 elapsed_s=51 rate=784313
linux	bench	o0	4	512	14.931861775	0.0270	0.0270	14.9272	BENCH_DONE pass=1 candidates=40000000 primes=4268930 sophie=290137 elapsed_s=15 rate=2666666
linux	bench	o2	4	512	12.308040059	0.0117	0.0117	12.3020	BENCH_DONE pass=1 candidates=40000000 primes=4268930 sophie=290137 elapsed_s=12 rate=3333333
nanos	bench	o0	4	512	16.543416004	0.2315	0.2357	15.4329	BENCH_DONE pass=1 candidates=40000000 primes=4268930 sophie=290137 elapsed_s=15 rate=2666666
nanos	bench	o2	4	512	13.540433233	0.3242	0.3275	12.6355	BENCH_DONE pass=1 candidates=40000000 primes=4268930 sophie=290137 elapsed_s=12 rate=3333333
baremetal	bench	bm	4	512	52.627683914	0.0263	0.0309	51.2421	BENCH_DONE pass=1 candidates=40000000 primes=4267876 sophie=289986 elapsed_s=51 rate=784313
linux	bench	o0	5	512	14.960419174	0.0313	0.0313	14.9526	BENCH_DONE pass=1 candidates=40000000 primes=4268930 sophie=290137 elapsed_s=15 rate=2666666
linux	bench	o2	5	512	12.268785711	0.0109	0.0109	12.2601	BENCH_DONE pass=1 candidates=40000000 primes=4268930 sophie=290137 elapsed_s=12 rate=3333333
nanos	bench	o0	5	512	16.551683703	0.2374	0.2404	15.2731	BENCH_DONE pass=1 candidates=40000000 primes=4268930 sophie=290137 elapsed_s=15 rate=2666666
nanos	bench	o2	5	512	13.546464960	0.2895	0.2924	12.5570	BENCH_DONE pass=1 candidates=40000000 primes=4268930 sophie=290137 elapsed_s=12 rate=3333333
baremetal	bench	bm	5	512	52.633078794	0.0269	0.0336	51.1419	BENCH_DONE pass=1 candidates=40000000 primes=4267838 sophie=289980 elapsed_s=51 rate=784313
