0	1	200000	4	51539
0	1	200000	2	51464
1	10	20000	3	51408
1	10	20000	2	51587
1	10	20000	0	51426
0	1	200000	1	51578
0	1	200000	0	51444
1	10	20000	1	51471
1	10	20000	4	51559
0	1	200000	3	51365
2	100	2000	0	51544
2	100	2000	1	51533
2	100	2000	2	51558
2	100	2000	3	51612
2	100	2000	4	51433
3	1000	200	2	51886
3	1000	200	4	51927
3	1000	200	1	52002
3	1000	200	3	51960
3	1000	200	0	51831
4	10000	20	0	52448
4	10000	20	1	52334
4	10000	20	2	52255
4	10000	20	4	52352
4	10000	20	3	52260
5	40	5000	4	51386
5	40	5000	3	51499
5	40	5000	1	51493
5	40	5000	2	51482
5	40	5000	0	51507
6	200	1000	1	51492
6	200	1000	2	51501
6	200	1000	0	51478
6	200	1000	3	51453
6	200	1000	4	51597
7	400	500	0	51568
7	400	500	1	51596
7	400	500	2	51621
7	400	500	3	51597
7	400	500	4	51619
