kroA100	0	1	200000	0	21282
kroA100	0	1	200000	1	21282
kroA100	0	1	200000	2	21282
kroA100	0	1	200000	3	21282
kroA100	0	1	200000	4	21282
kroA100	1	10	20000	0	21282
kroA100	1	10	20000	1	21282
kroA100	1	10	20000	2	21282
kroA100	1	10	20000	3	21282
kroA100	1	10	20000	4	21282
kroA100	2	40	5000	0	21282
kroA100	2	40	5000	1	21282
kroA100	2	40	5000	2	21282
kroA100	2	40	5000	3	21282
kroA100	2	40	5000	4	21282
kroA100	3	100	2000	0	21282
kroA100	3	100	2000	1	21282
kroA100	3	100	2000	2	21282
kroA100	3	100	2000	3	21282
kroA100	3	100	2000	4	21282
kroA100	4	200	1000	0	21282
kroA100	4	200	1000	1	21282
kroA100	4	200	1000	2	21282
kroA100	4	200	1000	3	21282
kroA100	4	200	1000	4	21282
kroA100	5	400	500	0	21282
kroA100	5	400	500	1	21282
kroA100	5	400	500	2	21282
kroA100	5	400	500	3	21282
kroA100	5	400	500	4	21282
kroA100	6	1000	200	0	21282
kroA100	6	1000	200	1	21282
kroA100	6	1000	200	2	21282
kroA100	6	1000	200	3	21282
kroA100	6	1000	200	4	21282
kroA100	7	10000	20	0	21282
kroA100	7	10000	20	1	21282
kroA100	7	10000	20	2	21282
kroA100	7	10000	20	3	21282
kroA100	7	10000	20	4	21282
rat783	0	1	200000	0	9100
rat783	0	1	200000	1	9108
rat783	0	1	200000	2	9108
rat783	0	1	200000	3	9095
rat783	0	1	200000	4	9106
rat783	1	10	20000	0	9086
rat783	1	10	20000	1	9105
rat783	1	10	20000	2	9090
rat783	1	10	20000	3	9103
rat783	1	10	20000	4	9093
rat783	2	40	5000	0	9103
rat783	2	40	5000	1	9107
rat783	2	40	5000	2	9079
rat783	2	40	5000	3	9074
rat783	2	40	5000	4	9106
rat783	3	100	2000	0	9101
rat783	3	100	2000	1	9091
rat783	3	100	2000	2	9097
rat783	3	100	2000	3	9100
rat783	3	100	2000	4	9092
rat783	4	200	1000	0	9106
rat783	4	200	1000	1	9110
rat783	4	200	1000	2	9108
rat783	4	200	1000	3	9115
rat783	4	200	1000	4	9107
rat783	5	400	500	0	9137
rat783	5	400	500	1	9088
rat783	5	400	500	2	9124
rat783	5	400	500	3	9124
rat783	5	400	500	4	9125
rat783	6	1000	200	0	9199
rat783	6	1000	200	1	9215
rat783	6	1000	200	2	9201
rat783	6	1000	200	3	9212
rat783	6	1000	200	4	9198
rat783	7	10000	20	0	9300
rat783	7	10000	20	1	9270
rat783	7	10000	20	2	9288
rat783	7	10000	20	3	9303
rat783	7	10000	20	4	9313
