ACO_START worker=2 instance=pcb442 n=442 optimum=50778 beta=2 ants=25 cache=1 ls=1 seed=3 static_bytes=1197378
ACO_PROGRESS worker=2 instance=pcb442 seed=3 iters=2000 best=51939 gap_bp=228
ACO_PROGRESS worker=2 instance=pcb442 seed=3 iters=4000 best=51846 gap_bp=210
ACO_PROGRESS worker=2 instance=pcb442 seed=3 iters=6000 best=51846 gap_bp=210
ACO_PROGRESS worker=2 instance=pcb442 seed=3 iters=8000 best=51679 gap_bp=177
ACO_PROGRESS worker=2 instance=pcb442 seed=3 iters=10000 best=51679 gap_bp=177
ACO_PROGRESS worker=2 instance=pcb442 seed=3 iters=12000 best=51679 gap_bp=177
ACO_PROGRESS worker=2 instance=pcb442 seed=3 iters=14000 best=51679 gap_bp=177
ACO_PROGRESS worker=2 instance=pcb442 seed=3 iters=16000 best=51679 gap_bp=177
ACO_PROGRESS worker=2 instance=pcb442 seed=3 iters=18000 best=51679 gap_bp=177
ACO_PROGRESS worker=2 instance=pcb442 seed=3 iters=20000 best=51679 gap_bp=177
ACO_PROGRESS worker=2 instance=pcb442 seed=3 iters=22000 best=51679 gap_bp=177
ACO_PROGRESS worker=2 instance=pcb442 seed=3 iters=24000 best=51679 gap_bp=177
ACO_PROGRESS worker=2 instance=pcb442 seed=3 iters=26000 best=51679 gap_bp=177
ACO_PROGRESS worker=2 instance=pcb442 seed=3 iters=28000 best=51505 gap_bp=143
ACO_PROGRESS worker=2 instance=pcb442 seed=3 iters=30000 best=51505 gap_bp=143
ACO_PROGRESS worker=2 instance=pcb442 seed=3 iters=32000 best=51282 gap_bp=99
ACO_PROGRESS worker=2 instance=pcb442 seed=3 iters=34000 best=51282 gap_bp=99
ACO_PROGRESS worker=2 instance=pcb442 seed=3 iters=36000 best=51282 gap_bp=99
ACO_PROGRESS worker=2 instance=pcb442 seed=3 iters=38000 best=51282 gap_bp=99
ACO_PROGRESS worker=2 instance=pcb442 seed=3 iters=40000 best=51282 gap_bp=99
ACO_PROGRESS worker=2 instance=pcb442 seed=3 iters=42000 best=51282 gap_bp=99
ACO_PROGRESS worker=2 instance=pcb442 seed=3 iters=44000 best=51282 gap_bp=99
ACO_PROGRESS worker=2 instance=pcb442 seed=3 iters=46000 best=51282 gap_bp=99
ACO_PROGRESS worker=2 instance=pcb442 seed=3 iters=48000 best=51282 gap_bp=99
ACO_PROGRESS worker=2 instance=pcb442 seed=3 iters=50000 best=51282 gap_bp=99
ACO_DONE worker=2 instance=pcb442 seed=3 iters=50000 best=51282 optimum=50778 gap_bp=99 ms=0 valid=1
